,index,title,caption,combined_caption_title,Label
0,1,"""The obscure #legal system that lets #corporations sue #countries Fifty years ago, an international legal system... http:// fb.me/QzOuKdpv",,"""The obscure #legal system that lets #corporations sue #countries Fifty years ago, an international legal system... http:// fb.me/QzOuKdpv",0
1,2,"#BanBossy: Sheryl Sandberg, BeyoncÃÂ© And More Ban Together To Get The ...",,,0
2,3,#BanBossy; is it necessary?,,,0
3,4,"#etiquette: Lena Dunham tweeted an offensive joke, then deleted it. Good call or ...",,,0
4,5,#Legal #CORRUPTION #Bolivia #worldwide #LawEnforcement #corrupted @INTERPOLWorld @INTERPOL_HTCE @INTERPOL_CBT @INTERPOL_USA @RUSI_org #law @secgen @MunSecConf https:// twitter.com/AmaliaCabildeo /status/928750684765335553 ÃÂ¢Ã¢âÂ¬ÃÂ¦,,#Legal #CORRUPTION #Bolivia #worldwide #LawEnforcement #corrupted @INTERPOLWorld @INTERPOL_HTCE @INTERPOL_CBT @INTERPOL_USA @RUSI_org #law @secgen @MunSecConf https:// twitter.com/AmaliaCabildeo /status/928750684765335553 ÃÂ¢Ã¢âÂ¬ÃÂ¦,0
5,6,#LEGAL #NEWS : Fact check: Has assisted dying been a legal slippery slope overseas? - ABC Online http:// dlvr.it/Q07XKL,,#LEGAL #NEWS : Fact check: Has assisted dying been a legal slippery slope overseas? - ABC Online http:// dlvr.it/Q07XKL,0
6,7,#Legal : Legal Secretary with personal injury law experience https:// goo.gl/fb/zEYRfv #lawjobs #legalsecretary,,#Legal : Legal Secretary with personal injury law experience https:// goo.gl/fb/zEYRfv #lawjobs #legalsecretary,0
7,8,#Legal : New ÃÂ¢Ã¢âÂ¬ÃÅStar WarsÃÂ¢Ã¢âÂ¬Ã¢âÂ¢ trilogy with new characters in development https:// goo.gl/fb/gpFWkG #legalnews #lawjobs,,#Legal : New ÃÂ¢Ã¢âÂ¬ÃÅStar WarsÃÂ¢Ã¢âÂ¬Ã¢âÂ¢ trilogy with new characters in development https:// goo.gl/fb/gpFWkG #legalnews #lawjobs,0
8,9,"#Legal : Senate, unlike House, would keep mortgage deduction intact https:// goo.gl/fb/RPWGJh #legalnews #lawjobs",,"#Legal : Senate, unlike House, would keep mortgage deduction intact https:// goo.gl/fb/RPWGJh #legalnews #lawjobs",0
9,10,#Legal : Title #Paralegal / Closer https:// goo.gl/fb/DA7Rgw #attorney #lawjobs #bilubilu #pompanobeach,,#Legal : Title #Paralegal / Closer https:// goo.gl/fb/DA7Rgw #attorney #lawjobs #bilubilu #pompanobeach,0
10,11,#Legal HELP from Experienced #attorneys for Less than $20/month no limits no surprises #LAW ... http:// fb.me/Ac5FDECC,,#Legal HELP from Experienced #attorneys for Less than $20/month no limits no surprises #LAW ... http:// fb.me/Ac5FDECC,0
11,12,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/yFqJyF7i4d,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/yFqJyF7i4d,0
12,13,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/3RymaXx7iX,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/3RymaXx7iX,0
13,14,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/y45hfXQyj6,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/y45hfXQyj6,0
14,15,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/6jQ1cFtE60,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/6jQ1cFtE60,0
15,16,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/C3xzzGmxG4,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/C3xzzGmxG4,0
16,17,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/vT81sC4TQu,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/vT81sC4TQu,0
17,18,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/N0MWo5eNLd,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/N0MWo5eNLd,0
18,19,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/PCFZ34u7sQ,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/PCFZ34u7sQ,0
19,20,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/SxRfqFUpfq,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/SxRfqFUpfq,0
20,21,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/Cx0TjXb3v5,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/Cx0TjXb3v5,0
21,22,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/EHqoOSCNHc,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/EHqoOSCNHc,0
22,23,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/hhGqGBx9q4,,#Listen #Live http:// mixlr.com/1upradio http:// edge.mixlr.com/channel/zolol #Housenation #HouseMusic #Deephouse #nudisco #indie #toronto #Dj #Love #Spain #Russia #Ibiza #Music #usa #rome #Radio #athens #india #asia #ElectronicMusic #wicked #greece #Germany #france #worldwide #1up #legal pic.twitter.com/hhGqGBx9q4,0
23,24,"#SXSW Forward: Austin, It's Time to Stop Playing with Trains and Grow Up",,,0
24,25,#SXSW Music Meets Tech Meetup: Tuesday March 11th 12:30-1:30PM,,,0
25,26,$1 million deal for book on Lindsay Lohan's rehab diaries?,,,0
26,27,@rianjohnson #IDs #illegal #Legal Is Not The #LAW #LegalIsEvil #Breaks #Al #TenCommandments #TenCommandmentsAreTheLaw #ReadTheBCCRSS #GodIsTruth #TruthJustIs #Brilliant #TruthBillboards Rian Johnson http:// nowyouknowthetruth.net,,@rianjohnson #IDs #illegal #Legal Is Not The #LAW #LegalIsEvil #Breaks #Al #TenCommandments #TenCommandmentsAreTheLaw #ReadTheBCCRSS #GodIsTruth #TruthJustIs #Brilliant #TruthBillboards Rian Johnson http:// nowyouknowthetruth.net,0
27,28,"[PHOTO] Grant Gustin in full-body 'Flash' costume, posing for CW's 'Arrow' spinoff ...",,,0
28,29,[WATCH] Lena Dunham keeps getting interrupted by the GPS while trying to sing ...,,,0
29,30,"`True Detective' is, finally, a tale of male friendship",,,0
30,31,10 Inspiring Celebrity Quotes on What It Means to Be a Little Girl AND a LeaderÃ¢â¬â¹,,,0
31,32,10 Must-Hear Bands at SXSW 2014,,,0
32,33,10 Observations on the Premiere of Lindsay Lohan's New Reality Show,,,0
33,34,10 Questions You'll Have After Seeing Justin Bieber And Selena Gomez's ...,,,0
34,35,10 Things We Learned About Lindsay Lohan From the Premiere of Exploitative ...,,,0
35,36,104 MCSO mug shots of the week,,,0
36,37,12 Possible Endings for Tonight's <em>Bachelor</em> Finale,,,0
37,38,12 Ways to Celebrate St. Patrick's Day in Dallas,,,0
38,39,16 Things You Can Learn About Dating From 'The Bachelor',,,0
39,40,2 Broke Girls' Spoilers: Lindsay Lohan to Guest Star on April 14 Episode as a ...,,,0
40,41,20 Things Inside Woody Harrelson's Mouth on True Detective,,,0
41,42,2014 Season 18 'Bachelor' Juan Pablo Finale Spoilers: Evil Claire Crawley ...,,,0
42,43,2014 Season 18 'Bachelor' Juan Pablo Girls Spoilers: Winner Disappointed ...,,,0
43,44,24 Bands Everyone Will Be Talking About After SXSW 2014,,,0
44,45,40 Artists To Know At SXSW 2014,,,0
